Ranking,University,Location,Year
291,Bauman Moscow State Technical University,"Moscow, Russia",2018
292,University of Waikato,"Hamilton , New Zealand",2018
293,Indian Institute of Technology Kanpur (IITK),"Kanpur, India",2018
293,Deakin University,"Geelong, Australia",2018
293,Université Paris-Sorbonne (Paris IV),"Paris, France",2018
296,Università di Padova,"Padua, Italy",2018
296,SOAS University of London,"London, United Kingdom",2018
296,Universitat Pompeu Fabra (Barcelona),"Barcelona, Spain",2018
299,Ewha Womans University,"Seoul, South Korea",2018
299,Hong Kong Baptist University,"Hong Kong, Hong Kong SAR",2018
301,"University of California, Santa Cruz","Santa Cruz, United States",2018
301,University of Porto,"Porto, Portugal",2018
303,Université de Strasbourg,"Strasbourg, France",2018
304,Indiana University Bloomington,"Bloomington, United States",2018
305,University of Lisbon,"Lisbon , Portugal",2018
305,Université Diderot  Paris 7,"Paris, France",2018
307,Politecnico di Torino,"Turin, Italy",2018
308,"Birkbeck, University of London","London, United Kingdom",2018
308,Westfälische Wilhelms-Universität Münster,"Münster, Germany",2018
308,Indian Institute of Technology Kharagpur (IIT-KGP),"Kharagpur, India",2018
311,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",2018
312,Heriot-Watt University,"Edinburgh, United Kingdom",2018
313,University of Tasmania,"Hobart, Australia",2018
314,University of Tartu,"Tartu, Estonia",2018
314,Charles University,"Prague, Czech Republic",2018
316,Tongji University,"Shanghai, China (Mainland)",2018
316,Massey University,"Palmerston North, New Zealand",2018
318,University at Buffalo SUNY,"Buffalo, United States",2018
319,Sun Yat-sen University,"Guangzhou, China (Mainland)",2018
319,Lincoln University,"Lincoln, New Zealand",2018
319,Université de Liège,"Arlon, Belgium",2018
322,Hiroshima University,"Higashihiroshima City, Japan",2018
323,"University of California, Riverside","Riverside, United States",2018
323,Tomsk State University,"Tomsk, Russia",2018
325,University of Milan,"Milan, Italy",2018
325,Harbin Institute of Technology,"Harbin, China (Mainland)",2018
325,Yeshiva University,"New York City, United States",2018
325,Griffith University,"Nathan, Australia",2018
329,National Yang Ming University,"Taipei City, Taiwan",2018
330,ENS Paris-Saclay,"Cachan, France",2018
331,Bandung Institute of Technology (ITB),"Bandung, Indonesia",2018
331,University of Cologne,"Cologne, Germany",2018
331,Universidad Austral,"Pilar, Argentina",2018
334,Belarusian State University,"Minsk, Belarus",2018
334,Mahidol University,"Nakhon Pathom, Thailand",2018
336,L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan",2018
337,Universidad de Belgrano,"Buenos Aires, Argentina",2018
338,Umea University,"Umeå, Sweden",2018
339,Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea",2018
339,Boston College,"Newton, United States",2018
341,University of Hawaiʻi at Mānoa,"Honolulu, United States",2018
341,Universität Jena,"Jena, Germany",2018
343,"City, University of London","London, United Kingdom",2018
344,Xi’an Jiaotong University,"Xi'an, China (Mainland)",2018
344,Nankai University,"Tianjin, China (Mainland)",2018
346,Northeastern University,"Boston, United States",2018
346,Brunel University London,United Kingdom,2018
346,University of Victoria (UVic),"Victoria, Canada",2018
347,"Essex, University of","Colchester, United Kingdom",2018
349,Universiti Brunei Darussalam (UBD),"Bandar Seri Begawan, Brunei",2018
349,Qatar University,"Doha, Qatar",2018
351,Kobe University,"Kobe City, Japan",2018
352,Ben-Gurion University of The Negev,"Be'er Sheva, Israel",2018
352,George Washington University,"Ashburn, United States",2018
355,"Université Paris-Dauphine, Université PSL","Paris, France",2018
355,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia",2018
357,Tilburg University,"Tilburg, Netherlands",2018
357,University of Jyväskylä,"Jyväskylä, Finland",2018
357,University Ulm,"Ulm, Germany",2018
360,La Trobe University,"Melbourne, Australia",2018
361,Oxford Brookes University,United Kingdom,2018
361,Universidade Nova de Lisboa,"Lisbon, Portugal",2018
361,Stellenbosch University,"Stellenbosch, South Africa",2018
364,University of Witwatersrand,"Johannesburg, South Africa",2018
364,Rensselaer Polytechnic Institute,"Troy, United States",2018
364,Pontificia Universidad Católica Argentina,"Buenos Aires, Argentina",2018
367,Tokyo Medical and Dental University (TMDU),"Tokyo, Japan",2018
367,University of Tromsø The Arctic University of Norway,"Tromsø, Norway",2018
367,James Cook University,"Townsville, Australia",2018
367,University of the Philippines,"Quezon City, Philippines",2018
367,Virginia Polytechnic Institute and State University,"Blacksburg, United States",2018
372,University of St.Gallen (HSG),"St. Gallen, Switzerland",2018
373,Aston University,"Birmingham, United Kingdom",2018
373,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia",2018
373,University of Kent,"Paris, United Kingdom",2018
373,MGIMO University,"Moscow, Russia",2018
373,Universitat Politècnica de València,"València, Spain",2018
378,Université Laval,"Québec, Canada",2018
379,Aalborg University,"Aalborg, Denmark",2018
380,Tampere University of Technology,"Tampere, Finland",2018
381,Université de Montpellier,"Montpellier, France",2018
382,HSE University,"Moscow, Russia",2018
382,"Stony Brook University, State University of New York","Stony Brook, United States",2018
384,University of Southern Denmark (SDU),"Odense, Denmark",2018
385,Universität Konstanz,"Konstanz, Germany",2018
386,National Research Tomsk Polytechnic University,Russia,2018
386,University of Kansas,"Lawrence, United States",2018
388,Universität Mannheim,"Mannheim, Germany",2018
388,National Sun Yat-sen University,"Kaohsiung City, Taiwan",2018
390,United Arab Emirates University,"Al Ain, United Arab Emirates",2018
391,Dublin City University,"Dublin, Ireland",2018
391,University of Utah,"Salt Lake City, United States",2018
391,National Central University,"Taoyuan City, Taiwan",2018
394,"University of Colorado, Denver","Denver, United States",2018
395,Illinois Institute of Technology,"Chicago, United States",2018
395,The American University in Cairo,"Cairo, Egypt",2018
397,HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea",2018
398,"Goldsmiths, University of London","London, United Kingdom",2018
398,Taipei Medical University (TMU),"Taipei City, Taiwan",2018
398,Johannes Gutenberg Universität Mainz,"Mainz, Germany",2018
401-410,Leibniz University Hannover,"Hanover, Germany",2018
401-410,National Technical University of Athens,"Athens, Greece",2018
401-410,Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia",2018
401-410,Ruhr-Universität Bochum,"Bochum, Germany",2018
401-410,Universidad Externado de Colombia,"Bogotá, Colombia",2018
401-410,Gadjah Mada University,"Yogyakarta, Indonesia",2018
401-410,University of Coimbra,"Coimbra, Portugal",2018
401-410,V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine",2018
401-410,Vilnius University,"Vilnius, Lithuania",2018
401-410,University of Stirling,"Stirling, United Kingdom",2018
401-410,Washington State University,"Pullman, United States",2018
411-420,American University of Sharjah,"Sharjah, United Arab Emirates",2018
411-420,Arabian Gulf University,"Manama, Bahrain",2018
411-420,Brandeis University,"Waltham, United States",2018
411-420,Satbayev University,"Almaty, Kazakhstan",2018
411-420,Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine",2018
411-420,Universidad de Costa Rica,"San Jose, Costa Rica",2018
411-420,Aix-Marseille University,"Marseille, France",2018
411-420,University of Oulu,"Oulu, Finland",2018
411-420,University of Warsaw,"Warsaw, Poland",2018
411-420,Wake Forest University,"Winston-Salem, United States",2018
421-430,Bilkent University,"Ankara, Turkey",2018
421-430,Hitotsubashi University,"Kunitachi City, Japan",2018
421-430,Shanghai University,"Shanghai, China (Mainland)",2018
421-430,Swinburne University of Technology,"Melbourne, Australia",2018
421-430,The University of Georgia,"Athens, United States",2018
421-430,University of Pisa,"Pisa, Italy",2018
421-430,University of Connecticut,"Storrs, United States",2018
421-430,University of Delaware,"Newark, United States",2018
421-430,University of Iowa,"Iowa City, United States",2018
421-430,University of Texas Dallas,"Richardson, United States",2018
431-440,Bond University,"Gold Coast, Australia",2018
431-440,Christian-Albrechts-University zu Kiel,"Kiel, Germany",2018
431-440,Concordia University,"Montreal, Canada",2018
431-440,Florida State University,"Tallahassee, United States",2018
431-440,Indian Institute of Technology Roorkee (IITR),"Roorkee, India",2018
431-440,Koç University,"Istanbul, Turkey",2018
431-440,National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan",2018
431-440,Pontificia Universidad Católica del Perú,"Lima, Peru",2018
431-440,Swansea University,"Swansea, United Kingdom",2018
431-440,Universidad de Palermo (UP),"Buenos Aires, Argentina",2018
431-440,Xiamen University,"Xiamen, China (Mainland)",2018
441-450,Auckland University of Technology (AUT),"Auckland, New Zealand",2018
441-450,Bangor University,United Kingdom,2018
441-450,Kazan (Volga region) Federal University,"Kazan, Russia",2018
441-450,Oregon State University,"Corvallis, United States",2018
441-450,Singapore Management University,Singapore,2018
441-450,Sogang University,"Seoul, South Korea",2018
441-450,University of Trento,"Trento, Italy",2018
441-450,Université Paris Descartes,"Paris , France",2018
441-450,York University,"Toronto, Canada",2018
451-460,Beijing Institute of Technology,"Beijing, China (Mainland)",2018
451-460,Institut National des Sciences Appliquées de Lyon (INSA),"Lyon, France",2018
451-460,Khalifa University of Science and Technology,"Abu Dhabi, United Arab Emirates",2018
451-460,Sultan Qaboos University,"Muscat, Oman",2018
451-460,Tulane University,"New Orleans, United States",2018
451-460,Universidad de Santiago de Chile (USACH),"Santiago, Chile",2018
451-460,University of Eastern Finland,"Kuopio, Finland",2018
451-460,University of Saskatchewan,"Saskatoon, Canada",2018
451-460,"The University of Tennessee, Knoxville","Knoxville, United States",2018
461-470,Jagiellonian University,"Krakow, Poland",2018
461-470,Martin-Luther-Universität Halle-Wittenberg,"Halle, Germany",2018
461-470,Pontificia Universidad Javeriana,"Bogotá, Colombia",2018
461-470,Sabanci University,"Istanbul, Turkey",2018
461-470,Universidad de Zaragoza,"Huesca, Spain",2018
461-470,University of Florence,"Florence, Italy",2018
461-470,"University of Rome ""Tor Vergata""","Rome, Italy",2018
461-470,Universität Potsdam,"Potsdam, Germany",2018
461-470,University of New Mexico,"Albuquerque, United States",2018
461-470,Wayne State University,"Detroit, United States",2018
471-480,American University,"Washington D.C., United States",2018
471-480,Dongguk University,"Seoul, South Korea",2018
471-480,Huazhong University of Science and Technology,"Wuhan, China (Mainland)",2018
471-480,Iowa State University,"Ames, United States",2018
471-480,Johannes Kepler University Linz,"Linz, Austria",2018
471-480,Karl-Franzens-Universitaet Graz,"Graz, Austria",2018
471-480,King Khalid University,"Abha, Saudi Arabia",2018
471-480,Middle East Technical University,"Ankara, Turkey",2018
471-480,Sharif University of Technology,"Tehran, Iran, Islamic Republic of",2018
471-480,Tianjin University,"Nankai, China (Mainland)",2018
481-490,Aberystwyth University,"Aberystwyth, United Kingdom",2018
481-490,Cairo University,"Giza, Egypt",2018
481-490,Chang Gung University,"Taoyuan City, Taiwan",2018
481-490,Colorado State University,"Fort Collins, United States",2018
481-490,Julius-Maximilians-Universität Würzburg,"Würzburg, Germany",2018
481-490,Renmin (People's) University of China,"Beijing, China (Mainland)",2018
481-490,Università Cattolica del Sacro Cuore,"Milan, Italy",2018
481-490,University of Naples - Federico II,"Naples, Italy",2018
481-490,Universität Bremen,"Bremen, Germany",2018
481-490,University of Delhi,"New Delhi, India",2018
481-490,"University of Maryland, Baltimore County","Baltimore, United States",2018
491-500,Bogaziçi Üniversitesi,"Istanbul, Turkey",2018
491-500,Czech Technical University in Prague,"Prague, Czech Republic",2018
491-500,Jilin University,"Changchun, China (Mainland)",2018
491-500,Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan",2018
491-500,Universidad Politécnica de Madrid (UPM),"Madrid, Spain",2018
491-500,Pusan National University,"Busan, South Korea",2018
491-500,UNESP,"SÃ£o Paulo, Brazil",2018
491-500,Saint Joseph University of Beirut (USJ),"Beirut, Lebanon",2018
491-500,University of Guelph,"Guelph, Canada",2018
491-500,Ural Federal University - UrFU,"Ekaterinburg, Russia",2018
501-550,Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of",2018
501-550,Aristotle University of Thessaloniki,"Thessaloniki, Greece",2018
501-550,Chiba University,"Chiba City, Japan",2018
501-550,Jeonbuk National University,"Jeonju, South Korea",2018
501-550,City University of New York,"New York City, United States",2018
501-550,Clark University,"Worcester, United States",2018
501-550,Drexel University,"Philadelphia, United States",2018
501-550,East China Normal University,"Shanghai, China (Mainland)",2018
501-550,Indian Institute of Technology Guwahati (IITG),"Guwahati, India",2018
501-550,"Kingston University, London","Kingston upon Thames, United Kingdom",2018
501-550,Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland",2018
501-550,Lehigh University,"Bethlehem, United States",2018
501-550,Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan",2018
501-550,Murdoch University,"Murdoch, Australia",2018
501-550,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""","Kyiv, Ukraine",2018
